Lead Number,Lead Origin,Lead Source,ToBeConverted,TotalVisits,Total Time Spent on Website,Last Activity,Lead Quality,Last Notable Activity
586393,API,Olark Chat,1,0,0,SMS Sent,,SMS Sent
586388,Landing Page Submission,Direct Traffic,0,3,118,Email Bounced,Worst,Modified
586385,Landing Page Submission,Direct Traffic,0,10,251,Email Opened,,Modified
586377,Landing Page Submission,Direct Traffic,0,1,533,Converted to Lead,,Modified
586364,Landing Page Submission,Organic Search,1,11,1002,Had a Phone Conversation,Might be,Had a Phone Conversation
586362,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
586359,API,Olark Chat,0,0,0,Email Link Clicked,,Modified
586357,API,Google,0,3,752,Email Opened,,Email Opened
586353,Landing Page Submission,Direct Traffic,0,2,111,SMS Sent,,SMS Sent
586351,API,Olark Chat,0,0,0,Email Opened,,Email Opened
586349,Landing Page Submission,Google,1,3,520,SMS Sent,Might be,SMS Sent
586345,API,Olark Chat,1,0,0,SMS Sent,Might be,Modified
586343,Landing Page Submission,Organic Search,1,14,1584,SMS Sent,,SMS Sent
586331,API,Organic Search,0,2,151,Olark Chat Conversation,,Modified
586326,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
586323,Lead Add Form,Welingak Website,1,0,0,SMS Sent,Might be,SMS Sent
586315,Landing Page Submission,Direct Traffic,1,2,1099,Page Visited on Website,Low in Relevance,Modified
586308,Landing Page Submission,Google,1,8,1558,Olark Chat Conversation,Low in Relevance,Olark Chat Conversation
586307,API,Olark Chat,0,0,0,Olark Chat Conversation,,Olark Chat Conversation
586296,API,Olark Chat,0,0,0,Email Link Clicked,,Email Link Clicked
586293,Landing Page Submission,Google,1,4,981,Email Opened,High in Relevance,Modified
586292,Landing Page Submission,Direct Traffic,0,1,156,Email Bounced,Worst,Modified
586285,Landing Page Submission,Direct Traffic,0,4,1409,Page Visited on Website,Worst,Modified
586259,API,Google,0,3,176,Email Opened,,Email Opened
586254,API,Olark Chat,1,0,0,SMS Sent,,SMS Sent
586246,API,Olark Chat,1,0,0,Email Opened,Not Sure,Email Opened
586245,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
586241,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
586237,API,Organic Search,1,4,643,Email Opened,,Email Opened
586222,API,Organic Search,1,5,772,SMS Sent,,SMS Sent
586221,API,Google,0,2,991,Email Opened,,Modified
586199,API,Olark Chat,0,0,0,Email Opened,,Email Opened
586194,Landing Page Submission,Organic Search,0,5,953,Email Opened,Worst,Email Opened
586175,Landing Page Submission,Google,0,6,1353,Email Opened,Low in Relevance,Modified
586173,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
586167,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
586158,Landing Page Submission,Google,0,8,87,Email Opened,,Email Opened
586156,API,Organic Search,1,4,1315,SMS Sent,Not Sure,Modified
586148,Landing Page Submission,Google,1,3,596,Email Opened,Might be,Email Opened
586145,Landing Page Submission,Direct Traffic,0,4,1224,Page Visited on Website,,Page Visited on Website
586139,Landing Page Submission,Direct Traffic,0,3,159,Email Opened,,Email Opened
586138,API,Olark Chat,1,0,0,Email Opened,Might be,Email Opened
586124,API,Olark Chat,0,0,0,Olark Chat Conversation,,Olark Chat Conversation
586109,API,Olark Chat,0,0,0,Email Opened,,Email Opened
586108,Landing Page Submission,Organic Search,0,5,208,SMS Sent,Might be,SMS Sent
586106,API,Organic Search,0,7,1531,Email Opened,,Email Opened
586104,Landing Page Submission,Direct Traffic,0,9,390,Email Opened,,Email Opened
586075,Landing Page Submission,Organic Search,0,3,278,Email Bounced,Worst,Modified
586071,Landing Page Submission,Direct Traffic,0,3,342,Page Visited on Website,Not Sure,Modified
586069,Landing Page Submission,Direct Traffic,0,2,289,Email Opened,,Modified
586052,API,Olark Chat,0,0,0,Olark Chat Conversation,,Olark Chat Conversation
586022,Landing Page Submission,Direct Traffic,0,2,1234,SMS Sent,Not Sure,SMS Sent
586016,Landing Page Submission,Direct Traffic,1,3,541,Email Opened,Low in Relevance,Email Opened
586002,Landing Page Submission,Direct Traffic,0,3,1487,SMS Sent,,SMS Sent
585995,Landing Page Submission,Direct Traffic,0,4,334,Email Opened,Worst,Email Opened
585990,Landing Page Submission,Organic Search,0,8,129,SMS Sent,Low in Relevance,Modified
585977,Landing Page Submission,Direct Traffic,0,3,2087,SMS Sent,,SMS Sent
585963,Landing Page Submission,Direct Traffic,0,3,154,Converted to Lead,,Modified
585950,Landing Page Submission,Direct Traffic,0,2,186,Email Opened,Worst,Email Opened
585939,Landing Page Submission,Direct Traffic,0,2,283,Email Bounced,Worst,Modified
585927,API,Olark Chat,1,0,0,SMS Sent,,SMS Sent
585910,Landing Page Submission,Organic Search,0,5,10,Email Opened,,Email Opened
585892,Landing Page Submission,Direct Traffic,1,2,766,Had a Phone Conversation,Might be,Modified
585890,Landing Page Submission,Direct Traffic,0,9,87,Email Opened,,Email Opened
585888,Landing Page Submission,Direct Traffic,0,5,104,Email Opened,,Email Opened
585872,Landing Page Submission,Direct Traffic,1,4,1449,SMS Sent,Not Sure,SMS Sent
585871,Landing Page Submission,Direct Traffic,0,2,391,SMS Sent,,Modified
585870,API,Google,0,4,65,Unsubscribed,,Unsubscribed
585868,Landing Page Submission,Organic Search,0,10,408,Page Visited on Website,Not Sure,Page Visited on Website
585865,Landing Page Submission,Direct Traffic,0,3,154,Email Opened,,Email Opened
585859,API,Olark Chat,0,0,0,Email Bounced,,Modified
585851,Landing Page Submission,Direct Traffic,0,10,793,Email Opened,,Email Opened
585830,API,Google,0,3,1395,Email Opened,,Email Opened
585829,API,Olark Chat,0,0,0,Email Bounced,,Modified
585824,API,Olark Chat,1,0,0,SMS Sent,High in Relevance,SMS Sent
585822,Landing Page Submission,Organic Search,1,7,854,Page Visited on Website,,Page Visited on Website
585819,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
585811,Landing Page Submission,Organic Search,0,8,216,SMS Sent,Might be,SMS Sent
585800,Landing Page Submission,Direct Traffic,0,1,127,Converted to Lead,Low in Relevance,Modified
585799,API,Google,1,9,38,Olark Chat Conversation,High in Relevance,Olark Chat Conversation
585792,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
585790,Landing Page Submission,Direct Traffic,1,3,82,SMS Sent,High in Relevance,SMS Sent
585785,API,Olark Chat,1,0,0,SMS Sent,,SMS Sent
585775,Landing Page Submission,Google,0,4,2226,SMS Sent,Not Sure,SMS Sent
585772,Landing Page Submission,Google,1,4,1284,Unreachable,Might be,Modified
585761,API,Google,1,8,1198,Email Opened,,Modified
585757,API,Olark Chat,0,0,0,SMS Sent,Might be,SMS Sent
585751,Landing Page Submission,Google,1,5,1154,SMS Sent,Might be,SMS Sent
585749,Landing Page Submission,Direct Traffic,0,11,1858,Email Opened,Might be,Modified
585742,API,Google,1,3,14,Email Opened,High in Relevance,Email Opened
585740,Landing Page Submission,Direct Traffic,0,8,35,Page Visited on Website,,Modified
585726,API,Organic Search,0,3,130,Email Opened,,Email Opened
585724,API,Google,1,2,1412,Email Opened,Might be,Modified
585722,Lead Add Form,Welingak Website,1,0,0,SMS Sent,,SMS Sent
585712,Landing Page Submission,Direct Traffic,1,2,254,Email Opened,,Email Opened
585710,Landing Page Submission,Direct Traffic,0,2,152,Email Bounced,,Modified
585709,Landing Page Submission,Organic Search,1,16,1297,Email Opened,,Email Opened
585704,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
585703,API,Google,1,2,1157,SMS Sent,Might be,Modified
585697,Landing Page Submission,Direct Traffic,1,2,1556,Email Opened,Might be,Email Opened
585688,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
585648,API,Organic Search,1,5,1445,SMS Sent,,SMS Sent
585646,Lead Add Form,Welingak Website,1,0,0,SMS Sent,High in Relevance,Modified
585643,Landing Page Submission,Organic Search,1,5,1531,SMS Sent,Not Sure,SMS Sent
585642,Landing Page Submission,Organic Search,0,4,180,Email Opened,,Modified
585616,Landing Page Submission,Google,1,4,605,SMS Sent,Might be,SMS Sent
585607,Landing Page Submission,Organic Search,0,6,311,Unsubscribed,,Unsubscribed
585600,API,Olark Chat,0,0,0,Olark Chat Conversation,,Olark Chat Conversation
585585,Landing Page Submission,Direct Traffic,0,2,1414,SMS Sent,,SMS Sent
585581,Landing Page Submission,Direct Traffic,1,2,849,Email Opened,Worst,Email Opened
585574,API,Google,1,2,1306,SMS Sent,,Modified
585573,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
585544,API,Google,0,1,94,Converted to Lead,,Modified
585535,API,Olark Chat,1,0,0,SMS Sent,Might be,Modified
585534,API,Google,0,4,303,Olark Chat Conversation,Might be,Modified
585505,API,Olark Chat,0,0,0,Email Opened,,Email Opened
585501,Landing Page Submission,Organic Search,0,6,262,Email Bounced,,Modified
585497,API,Direct Traffic,0,5,547,Olark Chat Conversation,,Modified
585484,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
585477,Lead Add Form,Welingak Website,1,0,0,SMS Sent,,SMS Sent
585475,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
585457,Landing Page Submission,Organic Search,0,6,192,SMS Sent,Not Sure,SMS Sent
585443,Landing Page Submission,Google,1,2,1705,Email Link Clicked,,Modified
585440,Landing Page Submission,Direct Traffic,0,3,1318,SMS Sent,Not Sure,SMS Sent
585438,Lead Add Form,Reference,1,,1458,,High in Relevance,Modified
585427,Landing Page Submission,Google,1,6,1079,Email Opened,Might be,Email Opened
585416,API,Olark Chat,0,0,0,Email Opened,,Email Opened
585411,Landing Page Submission,Direct Traffic,0,5,12,Email Opened,Not Sure,Email Opened
585409,Landing Page Submission,Direct Traffic,0,4,289,Email Opened,Worst,Modified
585406,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
585405,Landing Page Submission,Direct Traffic,0,1,247,Converted to Lead,,Modified
585403,API,Olark Chat,1,0,0,SMS Sent,Might be,SMS Sent
585401,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
585399,API,Olark Chat,1,0,0,Email Opened,Might be,Email Opened
585394,API,Google,0,2,86,Olark Chat Conversation,,Modified
585392,Landing Page Submission,Direct Traffic,1,2,1486,Email Opened,Might be,Email Opened
585388,Landing Page Submission,Organic Search,0,17,96,SMS Sent,Might be,SMS Sent
585386,Landing Page Submission,Direct Traffic,0,3,127,Email Opened,Worst,Email Opened
585382,API,Google,0,3,11,Email Opened,,Modified
585381,Landing Page Submission,Organic Search,0,5,1050,Email Opened,Not Sure,Email Opened
585377,API,Olark Chat,0,0,0,Email Opened,,Email Opened
585373,Landing Page Submission,Google,1,8,1607,SMS Sent,,Modified
585362,Landing Page Submission,Google,1,3,770,SMS Sent,High in Relevance,Modified
585361,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
585357,Landing Page Submission,Direct Traffic,0,5,392,Email Opened,,Email Opened
585348,Landing Page Submission,Google,0,3,184,Email Opened,,Email Opened
585344,API,Google,0,3,108,Unsubscribed,Not Sure,Modified
585343,API,Google,0,3,142,Olark Chat Conversation,,Olark Chat Conversation
585340,API,Olark Chat,0,0,0,Email Opened,,Modified
585336,Landing Page Submission,Google,0,5,396,Email Opened,,Email Opened
585325,API,Google,1,2,189,SMS Sent,,SMS Sent
585303,API,Olark Chat,1,0,0,SMS Sent,Might be,SMS Sent
585301,Landing Page Submission,Direct Traffic,0,2,353,Email Opened,Not Sure,Email Opened
585291,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
585283,API,Direct Traffic,0,5,1156,Olark Chat Conversation,Not Sure,Modified
585282,Landing Page Submission,Direct Traffic,1,8,936,Email Opened,High in Relevance,Email Opened
585281,API,Google,0,2,1580,SMS Sent,Not Sure,SMS Sent
585274,API,Olark Chat,0,0,0,Email Opened,,Email Opened
585273,Landing Page Submission,Organic Search,0,5,107,SMS Sent,Might be,SMS Sent
585269,Landing Page Submission,Direct Traffic,0,2,185,Email Bounced,,Modified
585266,Landing Page Submission,Direct Traffic,0,2,131,SMS Sent,Worst,SMS Sent
585243,Landing Page Submission,Direct Traffic,0,2,145,SMS Sent,Not Sure,SMS Sent
585230,Landing Page Submission,Organic Search,0,8,1032,SMS Sent,,Modified
585174,Landing Page Submission,Organic Search,1,9,1005,Email Opened,Might be,Modified
585167,Landing Page Submission,Google,0,3,1218,Form Submitted on Website,High in Relevance,Modified
585145,API,Olark Chat,1,0,0,Email Opened,Might be,Email Opened
585142,API,Olark Chat,0,0,0,SMS Sent,Not Sure,SMS Sent
585140,Landing Page Submission,Google,0,3,278,Email Opened,Worst,Email Opened
585120,Landing Page Submission,Direct Traffic,0,6,169,SMS Sent,Not Sure,SMS Sent
585071,API,Google,1,3,746,Unreachable,Might be,Unreachable
585062,Landing Page Submission,Direct Traffic,0,2,1393,Email Opened,,Email Opened
585052,API,Google,0,3,473,Form Submitted on Website,,Modified
585039,Landing Page Submission,Google,0,3,103,SMS Sent,,SMS Sent
585023,Landing Page Submission,Google,1,4,1674,SMS Sent,Not Sure,SMS Sent
585016,Landing Page Submission,Direct Traffic,0,2,323,SMS Sent,Might be,SMS Sent
585010,Landing Page Submission,Google,0,4,43,SMS Sent,Not Sure,SMS Sent
584995,Landing Page Submission,Direct Traffic,0,6,23,Email Opened,High in Relevance,Email Opened
584990,Landing Page Submission,Direct Traffic,0,2,345,Email Opened,,Modified
584936,Landing Page Submission,Direct Traffic,0,2,267,Email Bounced,Worst,Modified
584935,Landing Page Submission,Direct Traffic,0,2,109,SMS Sent,,SMS Sent
584932,Lead Add Form,,0,0,0,SMS Sent,Might be,SMS Sent
584908,Landing Page Submission,Google,0,4,679,Email Opened,,Email Opened
584906,API,Google,1,2,1565,Unreachable,Might be,Unreachable
584897,Landing Page Submission,Google,0,4,884,SMS Sent,Not Sure,SMS Sent
584881,Landing Page Submission,Direct Traffic,1,3,676,SMS Sent,,Modified
584858,Landing Page Submission,Direct Traffic,1,6,1835,Email Opened,Might be,Email Opened
584842,API,Google,0,3,1478,Form Submitted on Website,Not Sure,Modified
584840,Landing Page Submission,Direct Traffic,0,2,210,Email Opened,Low in Relevance,Modified
584832,Landing Page Submission,Direct Traffic,0,3,178,Email Bounced,,Modified
584822,Lead Add Form,Reference,1,0,0,SMS Sent,Might be,SMS Sent
584821,Landing Page Submission,Direct Traffic,0,6,229,Page Visited on Website,,Modified
584805,Landing Page Submission,Direct Traffic,0,1,84,Converted to Lead,Worst,Modified
584802,Landing Page Submission,Direct Traffic,0,3,509,Email Opened,,Modified
584788,API,Google,0,3,847,SMS Sent,Might be,SMS Sent
584779,API,Olark Chat,0,2,1192,SMS Sent,Might be,SMS Sent
584774,Landing Page Submission,Google,1,7,1721,SMS Sent,Might be,SMS Sent
584760,Landing Page Submission,Direct Traffic,0,2,70,SMS Sent,Not Sure,SMS Sent
584754,Landing Page Submission,Google,0,4,18,Email Opened,High in Relevance,Email Opened
584750,Landing Page Submission,Direct Traffic,0,2,223,Page Visited on Website,,Modified
584730,API,Olark Chat,1,1,1635,Email Opened,Not Sure,Email Opened
584727,Landing Page Submission,Direct Traffic,1,4,1840,SMS Sent,High in Relevance,SMS Sent
584703,API,Organic Search,1,2,645,SMS Sent,Might be,Modified
584702,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
584697,Landing Page Submission,Direct Traffic,0,4,271,Email Opened,Worst,Email Opened
584691,Landing Page Submission,Direct Traffic,1,2,384,SMS Sent,High in Relevance,Modified
584683,Landing Page Submission,Direct Traffic,1,3,1011,SMS Sent,Not Sure,Modified
584681,Landing Page Submission,Google,1,4,690,SMS Sent,,Modified
584668,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
584660,Landing Page Submission,Direct Traffic,1,2,254,Email Opened,,Email Opened
584655,Landing Page Submission,Direct Traffic,0,5,21,SMS Sent,Not Sure,SMS Sent
584650,Landing Page Submission,Direct Traffic,0,4,543,Page Visited on Website,,Modified
584649,Landing Page Submission,Organic Search,1,8,1508,Unreachable,Might be,Unreachable
584636,Landing Page Submission,Direct Traffic,1,1,1459,Converted to Lead,,Modified
584632,Landing Page Submission,Direct Traffic,0,2,1241,SMS Sent,,SMS Sent
584622,Landing Page Submission,Google,0,5,215,SMS Sent,Not Sure,SMS Sent
584613,Landing Page Submission,Direct Traffic,0,3,381,SMS Sent,,Modified
584607,Landing Page Submission,Direct Traffic,0,7,86,Page Visited on Website,Not Sure,Page Visited on Website
584604,Landing Page Submission,Direct Traffic,0,2,407,Email Opened,,Email Opened
584603,Landing Page Submission,Direct Traffic,0,2,300,SMS Sent,,SMS Sent
584599,Landing Page Submission,Google,0,5,4,SMS Sent,Not Sure,SMS Sent
584595,Landing Page Submission,Direct Traffic,0,2,362,SMS Sent,,Modified
584591,Landing Page Submission,Direct Traffic,0,2,244,Form Submitted on Website,,Modified
584579,Landing Page Submission,Direct Traffic,0,2,46,Email Opened,,Email Opened
584574,Landing Page Submission,Direct Traffic,0,2,148,Email Opened,Worst,Email Opened
584573,Landing Page Submission,Organic Search,1,3,125,Email Opened,,Modified
584572,API,Organic Search,0,3,20,Email Opened,,Email Opened
584568,Landing Page Submission,Direct Traffic,0,2,33,SMS Sent,Might be,SMS Sent
584561,Landing Page Submission,Organic Search,0,10,1337,Email Opened,Low in Relevance,Email Opened
584540,API,Olark Chat,1,5,1296,Olark Chat Conversation,Might be,Olark Chat Conversation
584538,Landing Page Submission,Organic Search,1,4,1390,Email Opened,High in Relevance,Email Opened
584531,API,Google,0,2,1647,SMS Sent,Not Sure,SMS Sent
584528,API,Olark Chat,1,11,1882,Email Opened,Might be,Email Opened
584514,Landing Page Submission,Direct Traffic,0,1,261,Converted to Lead,Worst,Modified
584507,Landing Page Submission,Direct Traffic,0,4,147,Email Opened,,Email Opened
584504,API,Direct Traffic,0,3,164,Page Visited on Website,,Page Visited on Website
584496,API,Organic Search,0,2,413,SMS Sent,,SMS Sent
584482,Landing Page Submission,Direct Traffic,0,3,106,Page Visited on Website,,Modified
584481,Lead Add Form,Reference,1,0,0,Email Opened,,Modified
584475,API,Organic Search,0,6,1,SMS Sent,Might be,SMS Sent
584471,Landing Page Submission,Google,0,6,120,Email Opened,Not Sure,Email Opened
584464,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
584463,API,Olark Chat,1,0,0,Email Opened,Low in Relevance,Email Opened
584456,Landing Page Submission,Direct Traffic,1,9,1256,SMS Sent,,Modified
584443,API,Organic Search,0,5,124,SMS Sent,Might be,SMS Sent
584441,Landing Page Submission,Direct Traffic,0,2,141,Email Opened,,Modified
584427,API,Olark Chat,0,3,321,Olark Chat Conversation,,Olark Chat Conversation
584422,Lead Add Form,Welingak Website,1,0,0,SMS Sent,,SMS Sent
584415,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
584408,API,Google,0,1,197,Converted to Lead,,Modified
584395,Landing Page Submission,Organic Search,0,3,521,Converted to Lead,,Modified
584394,API,Google,0,2,455,Page Visited on Website,,Modified
584390,Landing Page Submission,Direct Traffic,0,2,263,Email Opened,Might be,Modified
584385,API,Organic Search,1,9,1573,Form Submitted on Website,,Modified
584379,Landing Page Submission,Organic Search,0,2,1449,Converted to Lead,,Modified
584366,API,Organic Search,1,6,592,SMS Sent,,SMS Sent
584357,API,Olark Chat,0,0,0,Email Opened,,Email Opened
584352,API,Google,1,4,678,Email Opened,Low in Relevance,Email Opened
584347,API,Olark Chat,1,0,0,SMS Sent,,SMS Sent
584341,Landing Page Submission,Organic Search,1,6,1030,SMS Sent,Might be,SMS Sent
584340,API,Organic Search,0,6,45,Olark Chat Conversation,,Modified
584335,Landing Page Submission,Google,1,4,234,Unreachable,Might be,Unreachable
584327,API,Organic Search,1,2,1580,Unreachable,Might be,Unreachable
584324,Landing Page Submission,Google,0,4,1106,Form Submitted on Website,,Modified
584323,Landing Page Submission,Direct Traffic,0,17,380,Page Visited on Website,,Page Visited on Website
584310,Landing Page Submission,Google,1,3,401,SMS Sent,High in Relevance,SMS Sent
584303,API,Google,0,4,45,Olark Chat Conversation,,Modified
584301,Landing Page Submission,Google,1,3,535,SMS Sent,Might be,SMS Sent
584299,Landing Page Submission,Direct Traffic,0,3,1419,SMS Sent,Not Sure,Modified
584298,Landing Page Submission,Google,1,8,1232,Email Opened,Might be,Email Opened
584292,Landing Page Submission,Google,0,6,195,SMS Sent,,Modified
584286,API,Olark Chat,1,0,0,Olark Chat Conversation,Not Sure,Modified
584278,Lead Add Form,Welingak Website,1,0,0,Email Opened,,Email Opened
584277,API,Google,1,6,565,SMS Sent,Might be,Modified
584274,Landing Page Submission,Google,1,5,1538,Email Opened,High in Relevance,Email Opened
584266,Landing Page Submission,Organic Search,0,6,68,Email Opened,Not Sure,Email Opened
584265,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
584248,Landing Page Submission,Organic Search,0,4,348,Email Bounced,,Modified
584241,API,Google,1,2,1163,SMS Sent,,SMS Sent
584237,API,Olark Chat,0,0,0,Email Opened,Might be,Email Opened
584235,Landing Page Submission,Direct Traffic,0,1,432,Converted to Lead,,Modified
584219,API,Google,0,1,360,Converted to Lead,,Modified
584202,API,Olark Chat,1,4,1137,Unreachable,Might be,Unreachable
584198,Lead Add Form,Welingak Website,1,0,0,SMS Sent,,SMS Sent
584197,API,Organic Search,0,6,371,Email Opened,,Modified
584186,Landing Page Submission,Google,1,7,1478,SMS Sent,Might be,SMS Sent
584185,Landing Page Submission,Direct Traffic,0,2,252,SMS Sent,Might be,Modified
584182,Landing Page Submission,Direct Traffic,0,2,1381,Email Opened,Low in Relevance,Modified
584160,Landing Page Submission,Google,1,8,1342,SMS Sent,Might be,SMS Sent
584152,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
584115,Landing Page Submission,Direct Traffic,1,15,1040,Email Opened,Low in Relevance,Email Opened
584110,Landing Page Submission,Direct Traffic,0,3,173,SMS Sent,Not Sure,SMS Sent
584098,API,Google,1,5,1670,SMS Sent,,SMS Sent
584094,Landing Page Submission,Google,0,2,1692,SMS Sent,,Modified
584084,API,Olark Chat,0,0,0,Email Opened,,Email Opened
584076,Landing Page Submission,Google,0,20,165,SMS Sent,Might be,SMS Sent
584063,Landing Page Submission,Direct Traffic,0,2,182,Email Opened,,Email Opened
584061,Landing Page Submission,Organic Search,0,4,114,Page Visited on Website,,Modified
584059,Landing Page Submission,Direct Traffic,0,4,411,Email Opened,,Modified
584056,Landing Page Submission,Organic Search,0,6,136,SMS Sent,Might be,SMS Sent
584055,Landing Page Submission,Organic Search,0,8,203,Email Opened,Not Sure,Email Opened
584037,API,Google,0,4,1534,Page Visited on Website,High in Relevance,Modified
584032,Landing Page Submission,Direct Traffic,0,2,389,Email Opened,,Email Opened
584027,API,Olark Chat,0,0,0,Olark Chat Conversation,Worst,Modified
584024,Landing Page Submission,Direct Traffic,0,4,859,Email Opened,,Email Opened
584023,API,Google,0,2,269,Olark Chat Conversation,,Modified
584008,Landing Page Submission,Direct Traffic,0,2,267,SMS Sent,Not Sure,SMS Sent
584000,Landing Page Submission,Direct Traffic,0,5,131,Page Visited on Website,,Modified
583981,Landing Page Submission,Direct Traffic,1,2,1239,SMS Sent,Might be,Modified
583972,Landing Page Submission,Organic Search,0,7,69,Email Opened,,Email Opened
583969,Landing Page Submission,Organic Search,0,18,264,SMS Sent,Not Sure,SMS Sent
583960,API,Olark Chat,1,2,1122,Form Submitted on Website,Low in Relevance,Modified
583957,API,Olark Chat,1,0,0,SMS Sent,High in Relevance,SMS Sent
583946,Landing Page Submission,Direct Traffic,1,2,129,Email Opened,,Email Opened
583940,API,Direct Traffic,1,8,1271,SMS Sent,High in Relevance,SMS Sent
583931,Landing Page Submission,Google,1,27,573,Page Visited on Website,Might be,Page Visited on Website
583924,Landing Page Submission,Direct Traffic,1,3,1353,Email Opened,Low in Relevance,Modified
583921,Landing Page Submission,Direct Traffic,0,2,122,SMS Sent,,SMS Sent
583891,Landing Page Submission,Direct Traffic,0,2,191,SMS Sent,,SMS Sent
583887,Landing Page Submission,Direct Traffic,0,3,40,SMS Sent,Might be,SMS Sent
583875,API,Olark Chat,0,0,0,Email Link Clicked,,Modified
583847,Landing Page Submission,Direct Traffic,0,2,306,Email Link Clicked,,Email Link Clicked
583845,API,Organic Search,0,5,903,SMS Sent,Might be,Modified
583831,API,Olark Chat,0,0,0,SMS Sent,,SMS Sent
583824,Landing Page Submission,Direct Traffic,0,1,341,Email Bounced,Worst,Modified
583823,Landing Page Submission,Organic Search,0,3,146,Email Bounced,Worst,Modified
583811,Landing Page Submission,Google,1,9,665,SMS Sent,,SMS Sent
583809,Landing Page Submission,Organic Search,0,7,315,Unsubscribed,,Unsubscribed
583802,API,Google,0,1,73,Converted to Lead,,Modified
583789,Landing Page Submission,Direct Traffic,1,4,141,Olark Chat Conversation,Might be,Modified
583781,Landing Page Submission,Google,0,5,191,Email Opened,,Email Opened
583774,Landing Page Submission,Organic Search,0,15,1042,SMS Sent,Might be,SMS Sent
583761,Lead Add Form,Welingak Website,1,0,0,Email Opened,,Email Opened
583760,Landing Page Submission,Google,1,4,417,Form Submitted on Website,Low in Relevance,Modified
583755,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
583752,Landing Page Submission,Direct Traffic,0,4,266,SMS Sent,,Modified
583745,Landing Page Submission,Direct Traffic,1,2,1635,Page Visited on Website,Low in Relevance,Modified
583743,Landing Page Submission,Direct Traffic,1,7,1014,Email Opened,Might be,Email Opened
583741,Landing Page Submission,Direct Traffic,0,2,1087,Email Opened,,Email Opened
583735,Landing Page Submission,Direct Traffic,1,2,1019,SMS Sent,Might be,SMS Sent
583730,Landing Page Submission,Direct Traffic,0,15,290,Page Visited on Website,,Page Visited on Website
583729,Landing Page Submission,Direct Traffic,1,3,1128,Email Opened,Might be,Email Opened
583728,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
583723,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
583709,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
583708,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
583698,API,Olark Chat,0,0,0,Email Opened,,Email Opened
583694,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
583688,Landing Page Submission,Direct Traffic,0,1,40,Converted to Lead,Worst,Modified
583687,Landing Page Submission,Direct Traffic,0,4,425,Email Opened,Worst,Email Opened
583681,Landing Page Submission,Organic Search,0,12,25,Page Visited on Website,,Modified
583666,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
583663,Landing Page Submission,Direct Traffic,0,4,301,Email Opened,,Modified
583653,Landing Page Submission,Direct Traffic,1,1,216,Converted to Lead,Might be,Modified
583649,Landing Page Submission,Google,0,11,190,Page Visited on Website,Worst,Modified
583641,API,Google,0,8,33,Email Opened,Low in Relevance,Email Opened
583640,API,Google,0,7,859,SMS Sent,Not Sure,SMS Sent
583629,API,Google,0,2,23,Email Opened,,Modified
583627,API,Organic Search,0,6,100,Email Opened,High in Relevance,Email Opened
583622,Landing Page Submission,Direct Traffic,0,5,38,Email Opened,,Modified
583616,Landing Page Submission,Direct Traffic,0,5,19,Unsubscribed,High in Relevance,Modified
583614,API,Olark Chat,0,0,0,Email Opened,,Email Opened
583612,Landing Page Submission,Direct Traffic,0,3,294,Email Opened,Not Sure,Email Opened
583608,API,Google,0,2,265,Email Opened,,Email Opened
583602,Landing Page Submission,Direct Traffic,1,3,842,Email Opened,,Email Opened
583595,Landing Page Submission,Google,0,3,88,SMS Sent,Not Sure,SMS Sent
583585,Landing Page Submission,Direct Traffic,0,2,25,Page Visited on Website,,Page Visited on Website
583582,API,Google,0,4,106,SMS Sent,,SMS Sent
583580,API,Organic Search,1,4,1074,SMS Sent,Low in Relevance,SMS Sent
